id,name,region,population,num_cities,urban_ratio,avg_salary,entrepreneur_1000,Population500,Population500to1999,Population2000to9999,Population10000,unemployment_rate_1995,unemployment_rate_1996,commited_crimes_1995,commited_crimes_1996
46,Nachod,east Bohemia,112709,10,73.5,8369,117,48.0,20.0,7.0,3.0,1.7,2.31,2854,2618.0
47,Pardubice,east Bohemia,162580,6,72.8,9538,111,83.0,26.0,5.0,1.0,1.5,1.81,6079,5410.0
48,Rychnov nad Kneznou,east Bohemia,78955,9,59.0,9060,124,50.0,24.0,8.0,1.0,1.7,2.44,1655,1717.0
49,Semily,east Bohemia,75685,9,60.8,8208,155,31.0,28.0,5.0,1.0,1.8,2.26,1660,2123.0
50,Svitavy,east Bohemia,102609,6,52.0,8187,94,75.0,33.0,2.0,3.0,4.8,5.45,2123,2134.0
51,Trutnov,east Bohemia,121947,11,70.5,8541,131,37.0,28.0,7.0,3.0,2.5,2.97,3496,3839.0
52,Usti nad Orlici,east Bohemia,139012,10,61.9,8363,108,59.0,41.0,8.0,3.0,2.5,3.49,2564,2799.0
53,Blansko,south Moravia,107911,7,50.9,8240,99,88.0,33.0,6.0,2.0,2.5,3.56,1850,1903.0
54,Brno - mesto,south Moravia,387570,1,100.0,9897,140,0.0,0.0,0.0,1.0,1.6,1.96,18721,18696.0
55,Brno - venkov,south Moravia,157042,9,33.9,8743,111,49.0,70.0,18.0,0.0,1.8,2.43,3659,3894.0
56,Breclav,south Moravia,124605,8,46.0,8772,126,11.0,42.0,14.0,1.0,4.6,4.98,2854,3158.0
57,Hodonin,south Moravia,161954,8,48.0,8720,116,21.0,37.0,20.0,3.0,3.7,4.5,3729,3651.0
58,Jihlava,south Moravia,109164,4,63.6,8757,96,98.0,16.0,6.0,1.0,3.3,3.95,2212,2471.0
59,Kromeriz,south Moravia,108871,6,62.1,8444,106,41.0,29.0,7.0,2.0,3.2,3.47,2595,2305.0
60,Prostejov,south Moravia,110643,4,51.9,8441,115,49.0,41.0,4.0,1.0,3.4,4.48,1879,2252.0
61,Trebic,south Moravia,117897,6,53.8,8814,107,139.0,28.0,5.0,1.0,4.7,5.74,2112,2059.0
62,Uherske Hradiste,south Moravia,145688,5,40.7,8544,109,22.0,41.0,13.0,2.0,1.2,1.86,2719,2906.0
63,Vyskov,south Moravia,86513,5,50.5,8288,110,38.0,36.0,5.0,1.0,3.7,4.52,1562,1460.0
64,Zlin,south Moravia,197099,10,74.7,9624,145,29.0,41.0,10.0,2.0,1.6,2.31,4484,4265.0
65,Znojmo,south Moravia,114200,4,43.7,8403,105,101.0,41.0,4.0,1.0,5.7,5.72,2157,2718.0
66,Zdar nad Sazavou,south Moravia,125832,5,48.3,8512,102,151.0,41.0,2.0,3.0,3.5,4.12,2247,2103.0
67,Bruntal,north Moravia,106054,6,63.1,8110,109,38.0,25.0,6.0,2.0,5.7,6.55,3244,3079.0
68,Frydek - Mistek,north Moravia,228848,6,57.2,9893,96,15.0,40.0,18.0,2.0,4,4.72,5623,5887.0
69,Jesenik,north Moravia,42821,3,48.4,8173,124,4.0,13.0,5.0,1.0,NA,7.01,NA,1358.0
70,Karvina,north Moravia,285387,7,89.9,10177,81,0.0,2.0,8.0,5.0,6.6,7.75,9878,10108.0
71,Novy Jicin,north Moravia,161227,10,69.7,8678,102,5.0,35.0,11.0,4.0,5.9,5.57,4980,4595.0
72,Olomouc,north Moravia,226122,4,62.6,8994,110,32.0,50.0,7.0,4.0,3.8,4.79,9672,9208.0
73,Opava,north Moravia,182027,7,56.4,8746,90,17.0,49.0,12.0,2.0,3.3,3.74,4355,4433.0
74,Ostrava - mesto,north Moravia,323870,1,100.0,10673,100,0.0,0.0,0.0,1.0,4.7,5.44,18782,18347.0
75,Prerov,north Moravia,138032,5,64.6,8819,99,67.0,30.0,4.0,2.0,5.3,5.66,4063,4505.0
76,Sumperk,north Moravia,127369,7,51.2,8369,107,31.0,32.0,13.0,2.0,4.7,5.88,3736,2807.0
77,Vsetin,north Moravia,148545,4,53.5,8909,113,8.0,35.0,12.0,3.0,4,5.56,3460,3590.0
