Driver,Transcript
Lewis HAMILTON," Honestly, I don’t know how many cars were up ahead, so I don’t know… Charles just said it was a couple of other cars up ahead so maybe it was them – but ultimately it worked out well for them. I really don’t know what else to say. It would have been nice to just finish the lap and both put the pedal to the metal but it didn’t happen and we move forwards."
Lewis HAMILTON," I don’t think it looks good but I’m not a fan so I’ll let the fans decide on that. I think fans get excited,  at least I remember I used to get really excited about watching qualifying and all the way down to that last minute, so it’s down for you guys to have an opinion. For me, just as a driver, I would have loved to have obviously driven more qualifying. One of the best stages of the weekend. I think some drivers didn’t even have a lap – is it true that Seb didn’t even have a lap? Is that right? Yep, it is the way it is."
Valtteri BOTTAS," Well, these two tracks, we’ve seen this is really specific on the tows and I think Spa and Monza are the biggest gains on the straightline speed you can get really, being behind another car, and here especially. So, I don’t think it’s going to be an issue in most of the tracks, like at the next race where, for sure, everyone just tried to find a clear gap. But for tracks like this, it’s always been a bit like that, and maybe now a bit more extreme, with the cars getting more draggier and more of a gain being in the slipstream."
Charles LECLERC," Yeah, as Valtteri said, it’s only on a few tracks during the season where we have this issue. I’ve got no quick fix to try and help this quickly – but maybe we can all think about to to try and understand. It has always been like this. I think slipstream has always been that way. I don’t really know what to say. We just need to analyse a little bit more, the situation. I think today was special, was definitely not the intention from our side. Obviously there was also Seb that was capable of having the pole position and we obviously didn’t want to sacrifice one car for the pole of the other so, yeah, it was quite tricky. I definitely think that situations like after the second corner shouldn’t happen when there are two cars side-by-side. I cannot go at 20kph, we couldn’t pass and I think most of the drivers behind wanted to pass but didn’t have the opportunity so, yeah, these situations have made a big mess towards the end and that’s why so many cars didn’t make it to start their laps. But yeah, that’s it."
Lewis HAMILTON," I don’t really have an answer, to be honest. I don’t remember every qualifying session this year but it was similar last year, I think. We were all trying to get a gap, which continues to be key. In some places, you want a bigger gap, in some places it’s all about the tow, so each track’s specific. I always through they could do something different on weekends anyways, different weekends, depending on the track but it’s highly unlikely that’s going to happen."
Lewis HAMILTON," I’m sure it’s going to continue. Positioning is key. If we were to… everyone going out as late as we just did there, for example, with two minutes to go, it’s going to continue to be an issue in places where you particularly need a tow. It won’t be until someone crashes that they’ll change it, most likely."
Charles LECLERC," Well, it’s obviously going to be very, very difficult because, first of all, they are quick, secondly, slipstream and DRS are very important here – but I think the race pace looks better than what it was in Spa, so on that we are pretty confident – but for sure it’s going to be very difficult to keep them behind. As I said, I think a very good start from myself and also from Seb will be very important for the good result of the team tomorrow."
Lewis HAMILTON," Honestly I don’t know. It’s not our… it’s the system probably needs to shift a little bit maybe. I don’t think they should start handing out penalties. We just need to look upon it and reflect a little bit and see what we can do to make it better, make it better for the fans and make it less dangerous. Like they already made a change today that we have to finish the out lap within a certain delta time but even that’s still too slow. There’s improvements we can make, for sure, for safety but also for the spectators to watch."
Charles LECLERC," Yeah, I agree and today actually is quite difficult. If you put the penalty to one, you put the penalty to the 10 drivers that were in Q3 because we were all together."
Valtteri BOTTAS," Nothing to say, really."
Valtteri BOTTAS," Yeah, obviously a big accident. I saw it afterwards. At least from me… no one asked me if the kerb should be taken off or not but my view would have been for sure because we’ve seen an accident like this so for sure and it was actually not making any difference to the track limits because people were going off the track before the bump so it was in the wrong place and wrong height obviously. I’m sure there’s a lesson learned. It’s a super high-speed place and if you hit it at the wrong angle obviously those kind of things can happen so… Definitely not so good for safety that one but I’m sure something learned today."
Charles LECLERC," Yeah, I think it was maybe a bit pointless to put a kerb like this, once they said they would look at the track limits there, because anyway if you go out, you have your lap and the next lap deleted. But I was quite a fan of gravel there in the past. I think that was quite a good fix for every track limits."
Lewis HAMILTON, Did you drive here with the gravel?
Charles LECLERC," Yup, in Formula 3."
Lewis HAMILTON," Yeah, I agree with him. It was much better when it was grass and gravel on the exit there because I remember you used to come into that corner, you kind of… you were a bit nervous going in too deep because you might end up in the wall. The grass would pull you out wide and you’d pay the price for pushing beyond the limit. So now you can go beyond the limit and that’s the biggest – for me – the biggest problem with all these run-off areas that are tarmac now. We didn’t need to be consulted about the kerb. It’s a band-aid on the issue of putting tarmac there in the first place. I don’t think they needed tarmac round there."
Lewis HAMILTON," I don’t really think much of it, to be honest. I thought it was really funny – I think Max is generally a really funny guy so I was cracking up when I saw it. It’s interesting because obviously we know what it’s like – all the drivers have all been here and know what it’s like being criticised from the public and when [they are] in the sport moan about being criticised by people from the outside and then when drivers retire they become those critics, so it’s an interesting dynamic. And also some of those… unfortunately drivers become irrelevant when they retire and ultimate have to hang on to utilise other people’s light to keep them in the light and so… but that’s the way of sport, I guess."
Charles LECLERC," I think they’ve been quick all weekend, to be honest. I expected them to be very quick today. The straightline speeds are not as different compared to Spa. I think we were surprised to see them so quick on the straights during free practice. I think it was the same in qualifying, so yeah, I think it’s been the same from free practice to qualifying."
Charles LECLERC," Yeah, as I said earlier, I think in FP2 the race pace was a bit more positive compared to the race pace that we had in FP2 in Spa. It looks a little bit better but again, here the tow and the DRS has a bigger effect, so it’s going to be difficult to lead."
Lewis HAMILTON," Position is everything, so you want to go quick on the straight so no, you want to take absolutely everything off as possible to go as quick as you can."
Charles LECLERC, Same for us.
Valtteri BOTTAS, Yup.
Charles LECLERC, Thank you so much. What a race. I’ve never been so tired. Can I speak in Italian? (Continues in Italian).
Charles LECLERC," Yeah, I did a few mistakes but at the end I finished first. Very happy with this. I need to be careful with the mistakes but obviously none of them made me lose the position today."
Valtteri BOTTAS," Yeah, I think we had a good strategy with me and I was able to go pretty long in the first stint and that opened up some opportunities at the end. But I’m gutted, you know. I was trying everything I could to get him and there was no way past. Always when I was getting close enough I started left-front locking, because of the lack of downforce and they are so quick in the straights as well. But I tried and I think it was the best I could do today."
Valtteri BOTTAS," Yeah, it was really difficult. We were trying everything we could with engine modes and everything, but not quite enough. Yep, we move on."
Lewis HAMILTON, Fruity?
Lewis HAMILTON," He did a great job. Congratulations to Ferrari and to Charles, he did a great job. A lot of pressure from Valtteri and I. I did the best I could, I think, but obviously following so closely for such a long time the tyres eventually just went off the cliff. Nonetheless, they were just quicker today – much quicker in a straight line, so even"
Lewis HAMILTON," Honestly, I’m just trying to do better each race. I’m not really focused on that at the moment. But of course, a healthier lead than I’ve been in in the past, so obviously I’m grateful for that. But today wasn’t a perfect race. I think this weekend some improvements to be made to my set-up and obviously within myself, so I’ll focus on that for the next race."
Valtteri BOTTAS," First of all, well done Charles. (General laughter, as CL is absent). We tried everything we could today as a team and personally I was giving everything I could for the win. For sure, it’s annoying because it’s so close – finishing less than one second behind the leader. But, yeah, at least I tried everything I could. We tried. The tricky bit was that they were so quick on the straights. It required us to be so close in the corners that it was not really possible to follow, leading the straight (sic), and also getting issues with brakes locking up once getting so close to the car ahead. I was pushing hard, so what can I say? Just not quite enough. Otherwise, it was a good race. I enjoyed it a lot, hunting for the win and the pace was pretty good especially in the second stint."
Lewis HAMILTON," There’s not a lot of pleasure from finishing third. Going backwards is never a great thing. Still, it was a great race. He did a great job. It was nice and tight for a long time and they deserved the win – they did a better job."
Lewis HAMILTON," Uhh, that’s racing. Yeah, it’s just racing I guess. I had to avoid colliding with him a couple of times but I guess that’s how the racing is today. You just move forwards."
Charles LECLERC," It’s quite difficult – a lot going through my mind, during the race, after the race. A lot of emotions. Obviously it was very difficult during the race. Lewis was behind me. I think the biggest gap there was was maybe 1.7 or 1.8 seconds, so right behind me. I knew that Lewis rarely makes mistakes, so obviously I had to stay on it. I did a few, which never cost me a position – once was very, very close. It was crazy and then finally in the last two laps I started to believe that the win was possible. I think that with the traffic Valtteri dropped a little bit and that helped me to get a little bit of space. And then finally going on the line, I let go all my emotions through the radio. I don’t think you can understand anything that I have said on the radio, but it felt absolutely amazing, and the podium also. It’s going beyond all the dreams I’ve had since I was a child. To see so many people cheering for one team, singing all together, it’s amazing."
Charles LECLERC, I don’t know. I think the strategy was good. Obviously we were in a tricky situation because we had the two Mercedes behind and I was the only Ferrari and they could play the game of going long with one car and earlier with the other. It was very tricky but in the end I rthink we made ther right choice with the hard.
Lewis HAMILTON," I mean yeah, if I had gone onto the hard tyre I probably would have had the pace to have finished second, with a tyre that goes longer, but I wouldn’t have changed the position between myself and Charles I think. They were ultimately just a little bit too quick today. I did ask in the morning if I could go to the hard tyres and they said no. They said that because we hadn’t run it they didn’t it was quick enough. I think the tyre we were on was quick but I did say in the meeting this morning that the tyre was potentially going to go off the cliff. It was because I was following so closely behind for so long, just really on the ragged edge, trying to get as close as I could to get in shooting distance of trying to overtake. But every time I opened up the DRS – I don’t know if you were going to a different power mode – but the gap would stay the same. It’s pretty incredible the speed they have on the straights."
Charles LECLERC," The hard were quite difficult to manage. From the beginning, apart from the first two laps, or, no maybe a bit more, maybe three, four laps, I felt quite good, but then there was like a drop off of grip from all four tyres and then I’ve been struggling a little bit with front locks, and towards the end I’ve started to lose the rear, and that’s where the performance started to… where I started to slow down a little bit. They were not in a very bad shape. I believe they could have stayed where they were for quite many laps still – but yeah, I was just struggling with the rear left especially."
Charles LECLERC," Obviously I think since Austria it’s clear that we can go a bit further in the way that we defend and overtake and yeah, just the aggressivity of us drivers. I believe that Austria helped me to change this approach and today it’s also thanks to this that I’ve managed to win. It was obviously very on-the-limit but… yeah, I’m happy to race like this."
Charles LECLERC," I don’t know how you say it in English.  Libération.… yeah, freedom. More or less this. How many laps were there in the race? 53. 53 laps felt a lot longer than 53 laps. As I’ve said, I felt a lot of pressure from behind. So, obviously, from once I crossed the finish line until now is just pure happiness."
Charles LECLERC," We need to stay realistic. I think we expected that Spa and Monza would be very good races for our car but we also know that the next few races will be a lot more difficult for our car. So, we need to be realistic and, yeah, it’s not going to be easy. I think especially Singapore. I think it will be a nice surprise if we are better than what we expect – but what we expect – but we expect to struggle there. We’ll see in two weeks."
Charles LECLERC, I’ve been aware on the radio that I took a black-and-white flag for moving under braking but I’m not so sure of which move you are speaking about. If it’s the one in the right hander where we were flat-out or… after that. What it after that?
Charles LECLERC," OK – to be completely honest, obviously I knew he was on the right, he braked a little bit early which I think was probably on purpose because he didn't’ want to try around the outside. I thought I had left a car width. I haven’t seen the images to be honest. But I was pretty sure there was a car width."
Charles LECLERC," As I’ve said, I think it’s good if we can race harder. Again, I haven’t seen the images so I cannot say particularly in this case but overall I’m happy if we can race harder. So… yeah… I’m fine."
Lewis HAMILTON," We’ve just constantly asked for consistency. So, there was a rule put in place, and then it wasn’t abided by today and they used difference consequences for the rule today but I don't really know why that was the case. It’s motor racing, I guess, and I guess the stewards woke up on a different side of the bed this morning. I don’t know."
Lewis HAMILTON," Well, that’s what… Verstappen should have got that last year. We’ve asked for consistency. So the same rule should apply each time – but yeah… I don’t know what else to say about it."
Valtteri BOTTAS," I haven’t seen the whole thing, so I can’t say anything."
Charles LECLERC," Here. I think it’s the first weekend in my life where the only thing I’ve got in my head is winning. Normally I focus on just the job I have to do in the car, which normally is more successful and it works better. But, since Wednesday, seeing the support we’ve had, was just, yeah, incredible. The only thing I wanted this weekend was to win in front of all the guys that are supporting us, for the team. So, it was very difficult because also during the race I was thinking to that win and how much it would mean to everyone in the grandstand here. So it was adding a bit of pressure, and as I’ve explained earlier, also I had quite a lot of pressure from lap one to the last laps."
Charles LECLERC," Well, it felt amazing. I have never had a podium with… I’ve never been on a podium with so many people underneath it. And to see that the whole straight was full of people – mostly red – 99 per cent red – was great to see. Yeah, as I said earlier, hearing them cheering, singing was just… a lot of emotions."
Valtteri BOTTAS," No, it’s not impossible! Not far away today, it just happens that a Finn hasn’t won here. so, maybe one day. Try again next year, obviously. Like I said earlier, I think we tried everything we could and it felt like we maximised everything with the strategy and all – but just not quite enough."
Charles LECLERC," I’m very bad with history and I’ve got a very bad memory for my own races so yeah. For the others races, I really don’t remember anything. The only thing I can remember is maybe one of the first Grand Prix I’ve seen in Monaco, which was at the exit of turn one, I remember looking for the red car. I was playing with the small cars that you have when you are a child – I was maybe five years old or something like this. This is the only memory I have from a Formula One car probably."
Charles LECLERC," I went there with Jules Bianchi, who had to go there for some TV stuff and obviously he tried to let me in with him but they decided I couldn’t go in the factory. Now it’s a little bit easier to go inside but yeah, I remember obviously of dreaming of one day going through these doors and seeing how a Formula One team works, especially Ferrari. But I remember I was very impressed by the way as soon as you arrive in Maranello, which is a city, you can feel that everyone is just here, all working for Ferrari or completely crazy about Ferrari. That was very very special."
Charles LECLERC, No. No. I’ve got a very bad memory!
Charles LECLERC," Well, at the end, if I’m here, it’s also thanks to the FDA. There are a few people in my career who have helped me to get there but definitely the Ferrari Driver Academy is part of these persons or group of persons. We did a lot of mental preparation, physical preparation. They also helped me a lot with the simulator work so I was on the simulator quite a lot and they have tried to give me as much experience that they had from Formula One to me to grow as a better driver so obviously I believe it’s a great proof that the Academy is working properly and there are also a lot of talents coming who are very strong and I’m pretty sure they will come very soon, joining obviously me but all of us in Formula One soon."
Charles LECLERC," Obviously it’s always an easier situation to have two cars instead of one but obviously yesterday Seb was extremely unlucky, he couldn’t do the lap in the second run of Q3 so yeah, but I’m pretty sure it will be better in the next races."
Charles LECLERC," To challenge Lewis and Valtteri will be very difficult because, as I said, I don’t think we will be as competitive as we’ve been in Spa and Monza but let’s see, obviously . I don’t know if I will keep the position ahead of Seb in the drivers’ championship. I think we need to work together and to try and have the best performance for the team. He wants to beat me, I want to beat him as much as he does but yeah, we’ll see at the end of the championship. I can’t know."
Charles LECLERC," On the last two laps I started to see in the grandstand that there was quite a lot of agitation, that all of the fans were jumping so yeah, I was telling myself ‘stop looking at the grandstand, look at the track, focus on what you are doing as a driver and then you can enjoy whatever there is outside.’ But it was quite difficult to stay focused on driving, seeing how much movement there was in the grandstand. And then I haven’t yet seen Seb’s mistake."
Valtteri BOTTAS," Well there’s no point ever giving up when there’s still statistics to say it’s possible. Obviously it’s a bit of a long shot, honestly, if you’re realistic with the way Lewis is performing and the consistency he’s having. But obviously you never know. This is F1, we’ve seen crazy things happening so there’s no point giving up, I just focus as an individual, my best performance I can and for us, as a team, to keep those improvements coming, that we are doing together and by the end of the year we will see, but there’s no point in giving up."
Charles LECLERC," Yeah, definitely. He’s definitely the most complete driver I’ve been in the same team with. I’ve learned a lot from Sebastian. He’s an amazing driver, very quick. He has a lot of experience too so the way he works is very methodical and very detailed and of that I’ve learned a lot."
Lewis HAMILTON," I’m not unhappy; of course, as I’ve said, I don’t like to go backwards but he did a fantastic job today. I gave him as much pressure as I could and we had a couple of close moments, we could probably talk about it in private together but it’s nothing major and we continue to race. I’m looking forward to many more races together."
Charles LECLERC," Maybe on the long straight for like 200 meters, I had the time to think. We were quite quick down the straight… not for the whole straight, only for part of it. I was thinking very quickly."
Max VERSTAPPEN," Yeah, it was very low grip. I just tried to stay out of trouble. Of course I had a little touch with Sergio, but he didn’t leave me enough space to basically took himself out. From there onwards, it was raining a little bit and I just tried to keep the car on the track. Once everything was stabilised I overtook the McLaren cars. They had a lot of grip on the first lap, I don’t know how. And then I did my own race. I went onto the medium tyres, we had good pace, but of course the gap was already so big that you can’t really do anything."
Max VERSTAPPEN," Yeah, but also they were on the hard tyre and I think that tyre was not amazing. Today the medium tyre was the definitely the best tyre, so it wouldn’t have mattered if I had started on the medium because then I would have lost my time on the hards. Overall we finished where we deserved."
Valtteri BOTTAS," Yeah, the opening lap was pretty good. There was a bit of drizzle and some cars behind with the soft tyre had the upper hand but I was pretty pleased I could get the lead. But after that I just had no pace today. I don’t understand why, but no pace."
Valtteri BOTTAS," Of course I tried to defend, but the rate he was trying to close, there was nothing really to do. Like I said, I don’t know why I didn’t have the pace today. I was pushing hard but couldn’t go faster."
Valtteri BOTTAS," Yeah, I was hoping to extend the first stint a bit and go for the soft at the end but I don’t think it made any difference to the result today."
Lewis HAMILTON," Thank you so much. First of all, I really owe it all to these guys here and back at the factory for their tremendous work. They are continuously innovating and pushing the barrier higher every year, the target, and it’s just been such a privilege working with them and I’m so grateful for all the moments. The reliability has been absolutely incredible, thanks to Mercedes and Petronas and all our partners who are continuously pushing again. No one is sitting back on their success. Everyone is pushing. Pushing and pushing and pushing. That’s the most incredible thing to be surrounded by. It inspires you, that collaboration. There’s nothing quite like it. Today was tough, but it was all about temperatures today and that’s something I was able to, with the set-up, I was able to pre-empt it."
Lewis HAMILTON," Yeah, I mean they said it was going to rain straight after the race. We got some spitting just at the start. I got a good start but then going into Turn 7 and I got a huge oversteer moment and you know, you didn’t know what was next. I really backed off massively. Arguably, I should have probably tried to defend from Valtteri but I was like “I’ll come back later on” and fortunately that’s what I was able to do."
Lewis HAMILTON," Oh yeah. I mean, you know, it’s an incredibly physical sport but I had a cramp in my right calf. I was lifting quite often down the straight because it was about, like, pull. Pretty painful, but I had to somehow get through it because it is what it is, you can’t lift for the whole lap. You know, I could only have ever dreamed of being where I am today and I didn’t have a magic ball when I chose to come to this team and partner with these great people but here I am and what I can tell you is that I’m trying to make the most of it every single day. Everything that we do together, we are all rowing in the same direction and that’s why you are seeing the success that we are having. My dad’s here, which is amazing and my step mum Linda is here, and Roscoe, it’s a very blessed day."
Lewis HAMILTON," Phew. It’s going to take some time for it to fully sink in, but I was still pushing flat out coming across the line. I’m still very much in race mode mentally. I can’t find the words at the moment."
Lewis HAMILTON," Well, thank you. I think ultimately just very proud of the job that I felt I was able to do today and the thing I was able to overcome, but also the job we have done collectively as a team and it’s just reminiscent of the beginning when I joined the team, the decision I took to join the team and what we have done since. Did I think we would get to… I knew that we would win championships. Did I think we would win as many as we have? No. Did I think we would win this many races? Of course not. But it is a phenomenal time for us and the great thing is that it’s not just me that is living with the history, it’s the whole team and I think everyone acknowledges and realises how much they are part of it, so I feel incredibly grateful to my teammates. To Valtteri, for being the contender he is, the team-mate he is, for pushing the team forwards – we’re generally rowing in the same direction whilst we are competing, and it’s been a privilege to work with him. So what a time to be alive."
Lewis HAMILTON," I don’t believe in the saying the sky’s the limit. It’s just a saying. It depends how much we want it, how much we want to continue to raise the bar and going by our history together, just the way we work, we don’t sit back on our results, we keep working, we keep elevating. Every race feels like the first one. I don’t know how that’s possible after all these races but for me it does, just as challenging as the first, and I think there is a lot more for us to do. Especially as we’re in this crazy time of the pandemic. We’re in a crazy time with having to also utilise our position as a business, as a leader in the business for inclusivity, for diversity, there’s a lot of work to do. So, that keeps me inspired. My team-mates, who are continuously growing, my fans who are continuously learning through this process with us all, and our sport that is slowly changing, it’s a real special time. I definitely sometimes wonder, you know, jeez I’m 35 years old. I still feel physically strong but you still wonder when is it going to tip over and lose performance but showing by today it’s not yet."
Valtteri BOTTAS," First of all I want to say massive congrats to Lewis for this amazing achievement and being part of motorsport history, mate. Actually, some of the interviewers were saying that what do I think about it because many people thought it’s never possible to break the record but that itself is a mistake and I’m sure Lewis always believed it is possible and he’ll just keep going. So, really, hat’s off. Big respect."
Lewis HAMILTON," Thank you mate, appreciate it."
Valtteri BOTTAS," From my side, yeah, it was a tricky race. About the start, definitely the right-hand side was rather slippery but I’m pretty sure it looked a bit weird for the spectators and for the viewers, looking at the first lap but there was actually quite a bit of rain in the first laps, so that’s why the warm up was really poor, especially us being on the Medium tyre, the warm-up was quite a bit weaker than the guys with the soft tyre, so I think I managed to make the most out of it with the Medium tyres in the first few laps but yes, it was tricky."
Valtteri BOTTAS," Yes, I did ask for the Soft tyre because I thought it would be, for me, the best thing to do. Something different, as the gap was already pretty big by that point – but then the Medium tyre started to work. We started to have a bit of vibration, which means the tyres are going to be really finished and there’s always a risk of tyre failure, so the safest thing at the end was to go for the Hard, just to obviously get the points. That’s how it went today but fundamentally the main issue for me was lack of pace, which I didn’t quite understand. Just didn’t have the pace today as I’m sure everyone could see. It was a tough, long race without Safety Cars or anything."
Max VERSTAPPEN," We were just talking about it. Lewis says he keeps pushing because he wants to set it very high, because… yeah, I have to work hard to try to get there! It’s amazing. What can you say? It’s just incredible. An incredible achievement. Ninety-two victories and I don’t think it stops there. It will go well over 100. He’s pushing me to go until I’m 40 years old, or something. It’s a good motivation as well. Nah, anyway, it’s incredible. It looks like or course he’s also going for his seven world titles, which is very impressive. Everybody knows he’s very quick but what has also been a very strong point is that he’s also very consistent and very rarely makes a mistake and that’s why I think also he got to this number so quick. Yeah. It’s just very impressive."
Lewis HAMILTON, Thank you mate.
Max VERSTAPPEN," Yeah, it was quite eventful. The first two laps. The start itself was quite OK. I had a good draft and, of course, down to Turn 1, it was quite low-grip into Turn 1, so I had to go a little bit wide. It was hectic also the first lap. I don’t know. In Turn 3 I had to go a bit wide and I had… I think I was behind Lewis but I had Sergio next to me. He was going around the outside in Turn 4 but then, I don’t know, he didn’t leave enough space and basically he took himself out while I was just driving on the normal line and luckily I had no damage – but then of course you lose a bit of momentum, and then I had Charles and Carlos behind, so I had to defend, but then I locked up a bit, so I had to go wide. Yeah, it was a disaster! I had no grip and suddenly those McLarens were flying. They were absolutely flying and I lost positions to them – but I also didn’t want to risk too much, because normally they are not the ones we fight against in the race. But clearly the first lap they were unbelievable. I tried to stay out of trouble a bit, tried to settle down. Then I had Kimi behind me. I was shocked about that because I thought,  “Am I really going to… like, what’s going on?” Kimi was flying, probably his rally driving helped him a bit in the first lap or something because that was pretty impressive. He must have been P6? But anyway, kept him behind, everything settled down. I got into a rhythm, passed the McLarens."
Lewis HAMILTON, Shows you can still do it at 40!
Max VERSTAPPEN," Clearly! That’s going to be so long. I don’t want to think about that yet! I started when I was 17. I don’t want to think about being 40 years old, driving in Formula 1! Anyway, then I got back into P3 and quite quickly my left-front tyre died, so a lot of graining and I had to box. Once I put on the Mediums it was fine. I think the pace wasn’t too bad. Took a few laps to settle in – but also the wind, lap to lap, it was changing quite a lot. One time you would go into a corner and it was fine. Next lap you would have oversteer. So that also didn’t make it easy to really get settled it. Once the tyres were up to temperature the pace was good and I just pulled away from the cars behind and I could do my own race – but of course they were a bit too far away from that point onwards. But anyway, quite eventful in the beginning and of course I’m still happy to be here."
Lewis HAMILTON, Why didn’t you use the Medium?
Max VERSTAPPEN, I don’t had one set for quali and I said I wasn’t going to risk it. I didn't think the Soft was going to be that much of a struggle.
Lewis HAMILTON," I think today… first, when I come to these races I never think of the numbers. I just never let it enter into my thought process. Today was really about… we’re at this track, it’s very, very smooth, you see the struggle we’re all having with the tyre temperatures, so towards the end of the race I was thinking about what I will and won’t say in terms of what is appropriate to say and not to say but ultimately it’s no secret, I think today was about tyre temperature. I felt through the race that I was learning, lap on lap, more about the circuit. I was trying lots of different lines and discovering new lines that worked well. The wind direction was very, very tricky, I think, today, lots of crosswinds, headwinds and tailwinds and there was some positions that you could utilise to your favour and others that kind-of get in the way. I think the key is the times when you have a tailwind, it’s minimising the loss through those stages. Set-up was something that I really focussed on. It was less about qualifying set-up, and more for the race set-up and I think today that enabled me to go one better, I guess, than before. I just felt like I was generally getting faster and faster throughout the race – but I had to keep up the pace for these tyres. That was really the key."
