account_id,open_date,statement_frequency,district_name,credit_cards,loan,loan_amount,loan_payments,loan_term,loan_status,loan_default,max_withdrawal,min_withdrawal,cc_payments,max_balance,min_balance,num_customers
44,1993-05-10,monthly,Ceska Lipa,0.0,0,NA,NA,NA,NA,NA,11350,15,131,29482,400,1
45,1997-09-02,monthly,Zlin,0.0,0,NA,NA,NA,NA,NA,15000,15,41,52970,300,1
47,1993-08-08,monthly,Jicin,0.0,0,NA,NA,NA,NA,NA,63300,9,133,108509,300,1
48,1996-11-17,monthly,Tabor,1.0,0,NA,NA,NA,NA,NA,25120,15,52,72803,700,2
49,1997-04-06,monthly,Hl.m. Praha,0.0,0,NA,NA,NA,NA,NA,3520,15,43,24004,300,1
50,1994-05-06,monthly,Hl.m. Praha,0.0,0,NA,NA,NA,NA,NA,23600,15,117,90088,900,1
51,1996-05-11,monthly,Bruntal,1.0,0,NA,NA,NA,NA,NA,26300,15,63,106203,800,1
52,1997-01-29,monthly,Jindrichuv Hradec,0.0,0,NA,NA,NA,NA,NA,42300,15,48,83077,900,1
53,1995-06-07,monthly,Vsetin,0.0,0,NA,NA,NA,NA,NA,3900,15,87,27519,700,1
54,1995-05-02,monthly,Kladno,0.0,0,NA,NA,NA,NA,NA,8070,15,89,29756,1000,1
55,1996-02-19,monthly,Strakonice,0.0,0,NA,NA,NA,NA,NA,4300,15,65,23445,300,1
56,1994-05-16,monthly,Svitavy,0.0,0,NA,NA,NA,NA,NA,29600,15,118,78757,900,1
57,1995-05-21,monthly,Hl.m. Praha,0.0,0,NA,NA,NA,NA,NA,25300,15,87,77726,700,1
58,1996-08-23,monthly,Rokycany,0.0,0,NA,NA,NA,NA,NA,14250,6,54,28954,-2204,1
59,1994-03-27,monthly,Hradec Kralove,0.0,0,NA,NA,NA,NA,NA,22880,15,123,89720,600,1
61,1993-12-11,monthly,Karvina,0.0,0,NA,NA,NA,NA,NA,5850,15,117,31765,700,2
62,1993-03-28,monthly,Pardubice,0.0,0,NA,NA,NA,NA,NA,7600,15,135,36366,1100,1
63,1996-11-16,monthly,Domazlice,0.0,0,NA,NA,NA,NA,NA,11650,15,47,37303,600,2
64,1997-03-11,monthly,Zlin,0.0,0,NA,NA,NA,NA,NA,32200,200,30,79559,200,1
65,1996-10-29,monthly,Liberec,1.0,0,NA,NA,NA,NA,NA,26800,15,53,85379,600,1
67,1994-10-19,monthly,Jindrichuv Hradec,0.0,1,165960.0,6915.0,24.0,expired,F,61500,15,102,134939,700,1
69,1996-01-12,monthly,Zlin,0.0,0,NA,NA,NA,NA,NA,22800,15,123,71708,600,1
70,1995-02-18,monthly,Mlada Boleslav,0.0,0,NA,NA,NA,NA,NA,20320,15,101,60184,500,2
71,1994-03-05,monthly,Hl.m. Praha,1.0,0,NA,NA,NA,NA,NA,39520,15,118,94860,700,2
73,1993-11-08,monthly,Olomouc,1.0,0,NA,NA,NA,NA,NA,44160,15,128,89175,400,1
75,1995-08-13,monthly,Hl.m. Praha,0.0,0,NA,NA,NA,NA,NA,20300,15,82,49848,700,1
76,1996-05-16,monthly,Usti nad Orlici,0.0,0,NA,NA,NA,NA,NA,22400,15,73,49609,200,1
77,1996-11-19,monthly,Vyskov,0.0,0,NA,NA,NA,NA,NA,36200,15,52,56325,400,1
78,1993-07-07,monthly,Ostrava - mesto,0.0,0,NA,NA,NA,NA,NA,21100,15,137,78733,400,1
79,1996-11-29,monthly,Beroun,0.0,0,NA,NA,NA,NA,NA,3680,15,47,27474,600,1
80,1995-09-27,monthly,Hradec Kralove,0.0,0,NA,NA,NA,NA,NA,5250,15,75,28082,900,2
81,1996-07-18,monthly,Ostrava - mesto,0.0,0,NA,NA,NA,NA,NA,3800,15,74,39080,1000,1
82,1994-05-03,monthly,Plzen - mesto,0.0,0,NA,NA,NA,NA,NA,61100,15,144,161574,300,1
83,1993-04-16,monthly,Plzen - mesto,0.0,0,NA,NA,NA,NA,NA,14080,15,147,42435,500,2
85,1997-03-23,monthly,Frydek - Mistek,0.0,0,NA,NA,NA,NA,NA,7200,15,54,59467,400,1
86,1993-03-07,monthly,Brno - mesto,0.0,0,NA,NA,NA,NA,NA,8880,15,141,28700,800,2
88,1996-07-03,monthly,Tachov,0.0,0,NA,NA,NA,NA,NA,2550,15,61,27174,300,1
89,1997-09-25,monthly,Frydek - Mistek,0.0,0,NA,NA,NA,NA,NA,10200,15,33,39075,600,1
90,1994-07-13,monthly,Hl.m. Praha,0.0,0,NA,NA,NA,NA,NA,25120,15,110,74107,500,1
91,1996-11-06,monthly,Pelhrimov,0.0,0,NA,NA,NA,NA,NA,34700,1,42,77111,-4188,1
93,1996-06-12,monthly,Benesov,0.0,0,NA,NA,NA,NA,NA,24400,15,66,38377,500,1
95,1995-03-30,monthly,Hl.m. Praha,1.0,0,NA,NA,NA,NA,NA,32000,15,92,97808,200,2
96,1993-02-18,monthly,Frydek - Mistek,1.0,0,NA,NA,NA,NA,NA,67500,15,146,156580,1100,2
97,1996-05-05,monthly,Ostrava - mesto,1.0,1,102876.0,8573.0,12.0,expired,F,18600,3,67,67288,900,2
98,1997-05-02,monthly,Brno - venkov,0.0,0,NA,NA,NA,NA,NA,7700,15,41,25586,1100,2
99,1995-06-27,monthly,Hl.m. Praha,0.0,0,NA,NA,NA,NA,NA,64900,15,93,122885,600,1
100,1993-12-28,monthly,Usti nad Labem,0.0,0,NA,NA,NA,NA,NA,35040,15,145,84377,600,1
101,1996-04-16,monthly,Jablonec n. Nisou,0.0,0,NA,NA,NA,NA,NA,46240,15,71,81423,1000,1
102,1993-10-16,monthly,Praha - zapad,0.0,0,NA,NA,NA,NA,NA,29600,0,118,96777,-7104,1
103,1996-03-10,monthly,Chrudim,0.0,1,265320.0,7370.0,36.0,current,T,62700,4,84,124758,-1140,1
104,1993-04-15,monthly,Litomerice,0.0,0,NA,NA,NA,NA,NA,8700,15,133,31741,500,2
105,1997-07-10,monthly,Tabor,1.0,1,352704.0,7348.0,48.0,current,F,29900,15,30,74694,800,1
106,1994-11-27,monthly,Vyskov,1.0,0,NA,NA,NA,NA,NA,18800,15,99,76991,500,1
107,1993-11-05,monthly,Zlin,0.0,0,NA,NA,NA,NA,NA,5760,15,152,50612,1000,1
108,1995-03-10,monthly,Blansko,1.0,0,NA,NA,NA,NA,NA,34720,15,94,88609,800,1
109,1997-04-20,monthly,Blansko,1.0,0,NA,NA,NA,NA,NA,9100,15,70,53624,1100,1
110,1996-07-17,monthly,Liberec,1.0,1,162576.0,4516.0,36.0,current,F,44480,15,61,79652,900,1
112,1993-03-12,monthly,Kutna Hora,0.0,0,NA,NA,NA,NA,NA,38500,15,141,52895,200,2
113,1996-07-22,monthly,Brno - venkov,0.0,0,NA,NA,NA,NA,NA,6800,15,55,32697,600,1
114,1997-03-14,monthly,Prostejov,0.0,0,NA,NA,NA,NA,NA,6000,15,39,27332,500,1
115,1993-03-19,monthly,Frydek - Mistek,1.0,0,NA,NA,NA,NA,NA,11100,15,158,52047,800,1
116,1996-03-21,monthly,Mlada Boleslav,0.0,0,NA,NA,NA,NA,NA,31400,15,68,77466,800,2
117,1993-09-05,monthly,Tachov,0.0,0,NA,NA,NA,NA,NA,11200,15,129,32382,900,1
118,1997-09-18,monthly,Frydek - Mistek,0.0,0,NA,NA,NA,NA,NA,5000,15,37,40532,600,1
119,1993-05-25,monthly,Plzen - jih,0.0,0,NA,NA,NA,NA,NA,21200,15,135,70508,800,1
121,1997-10-11,monthly,Brno - venkov,0.0,0,NA,NA,NA,NA,NA,5600,15,39,37504,200,1
122,1996-10-30,monthly,Tachov,1.0,0,NA,NA,NA,NA,NA,29400,15,53,86062,900,1
123,1993-03-13,monthly,Tabor,0.0,0,NA,NA,NA,NA,NA,4500,15,135,27494,200,2
124,1997-12-28,monthly,Brno - venkov,0.0,0,NA,NA,NA,NA,NA,4900,15,29,26468,800,1
126,1993-10-23,monthly,Kolin,0.0,0,NA,NA,NA,NA,NA,48900,15,140,118219,200,1
127,1994-02-02,monthly,Rokycany,0.0,0,NA,NA,NA,NA,NA,6400,15,119,23673,600,1
128,1993-02-19,monthly,Benesov,1.0,0,NA,NA,NA,NA,NA,21900,15,208,86413,300,1
129,1997-10-01,monthly,Ostrava - mesto,0.0,0,NA,NA,NA,NA,NA,7200,15,31,29052,600,2
130,1997-02-12,monthly,Brno - mesto,0.0,0,NA,NA,NA,NA,NA,7350,15,42,35067,300,1
131,1995-06-13,monthly,Usti nad Orlici,0.0,0,NA,NA,NA,NA,NA,33000,15,90,48212,5496,1
134,1997-12-10,monthly,Chomutov,1.0,0,NA,NA,NA,NA,NA,12700,15,27,47697,300,1
135,1993-06-15,monthly,Prerov,0.0,0,NA,NA,NA,NA,NA,24700,15,161,75906,700,1
136,1996-05-14,monthly,Ostrava - mesto,0.0,0,NA,NA,NA,NA,NA,8100,15,60,32170,600,1
137,1996-07-19,monthly,Karvina,0.0,0,NA,NA,NA,NA,NA,36000,15,59,81958,900,1
138,1995-09-19,monthly,Domazlice,0.0,0,NA,NA,NA,NA,NA,4700,200,15,21200,1100,2
140,1996-06-25,monthly,Karlovy Vary,0.0,0,NA,NA,NA,NA,NA,24600,15,42,84824,300,1
141,1996-03-06,monthly,Louny,0.0,0,NA,NA,NA,NA,NA,45100,15,69,89665,900,2
142,1993-02-15,monthly,Trutnov,0.0,0,NA,NA,NA,NA,NA,6200,15,137,30167,900,2
143,1996-11-27,monthly,Tabor,0.0,0,NA,NA,NA,NA,NA,4500,15,47,27564,500,1
145,1996-01-03,monthly,Tachov,0.0,0,NA,NA,NA,NA,NA,28900,15,94,68969,1100,1
146,1993-09-02,monthly,Kladno,0.0,0,NA,NA,NA,NA,NA,11050,15,129,38814,500,1
148,1993-06-21,monthly,Mlada Boleslav,0.0,0,NA,NA,NA,NA,NA,3400,15,129,27206,500,1
149,1997-11-16,monthly,Hradec Kralove,0.0,0,NA,NA,NA,NA,NA,21200,15,44,58484,300,1
150,1995-03-16,monthly,Opava,0.0,0,NA,NA,NA,NA,NA,27400,15,130,98752,1900,1
151,1993-09-06,monthly,Sumperk,0.0,0,NA,NA,NA,NA,NA,7100,15,147,34425,1000,2
152,1996-04-12,monthly,Hl.m. Praha,0.0,0,NA,NA,NA,NA,NA,6300,15,76,35746,1100,2
153,1993-09-19,monthly,Vsetin,0.0,0,NA,NA,NA,NA,NA,17200,15,129,53039,400,1
154,1994-06-21,monthly,Nachod,0.0,0,NA,NA,NA,NA,NA,18900,15,111,96137,900,1
155,1995-11-07,monthly,Jihlava,0.0,0,NA,NA,NA,NA,NA,14560,15,95,38532,300,1
156,1997-10-22,monthly,Zlin,0.0,0,NA,NA,NA,NA,NA,8430,15,25,21707,1000,1
157,1997-03-28,monthly,Praha - zapad,0.0,0,NA,NA,NA,NA,NA,6300,15,40,39576,200,1
158,1995-03-15,monthly,Litomerice,0.0,0,NA,NA,NA,NA,NA,33200,15,91,83034,700,2
159,1997-02-11,monthly,Karvina,1.0,0,NA,NA,NA,NA,NA,25600,15,46,103034,800,1
160,1993-09-04,monthly,Cheb,0.0,0,NA,NA,NA,NA,NA,57100,15,152,113217,400,1
161,1994-07-04,monthly,Plzen - sever,0.0,0,NA,NA,NA,NA,NA,14450,15,109,29469,900,1
162,1993-08-25,monthly,Prostejov,0.0,0,NA,NA,NA,NA,NA,13900,15,125,40827,200,2
163,1993-01-27,monthly,Sokolov,0.0,0,NA,NA,NA,NA,NA,9050,15,141,43752,900,1
164,1996-09-13,monthly,Prostejov,0.0,0,NA,NA,NA,NA,NA,21700,100,32,67994,200,1
165,1993-06-01,monthly,Klatovy,0.0,0,NA,NA,NA,NA,NA,14650,15,135,62489,1000,2
166,1996-08-20,monthly,Pelhrimov,0.0,0,NA,NA,NA,NA,NA,4300,15,53,31842,800,1
168,1993-04-27,monthly,Tachov,0.0,0,NA,NA,NA,NA,NA,8100,15,133,24794,500,2
169,1995-09-28,monthly,Kladno,0.0,0,NA,NA,NA,NA,NA,14600,15,82,78256,500,1
170,1996-07-02,monthly,Kromeriz,0.0,0,NA,NA,NA,NA,NA,22100,15,62,79183,1000,1
171,1996-06-08,monthly,Nachod,0.0,0,NA,NA,NA,NA,NA,6700,15,63,33192,500,1
172,1993-08-30,monthly,Rakovnik,1.0,0,NA,NA,NA,NA,NA,46720,15,131,78889,700,2
173,1993-11-26,monthly,Zdar nad Sazavou,0.0,1,104808.0,8734.0,12.0,expired,F,18560,15,156,87882,500,2
174,1996-09-04,monthly,Usti nad Orlici,0.0,0,NA,NA,NA,NA,NA,3400,15,57,21345,900,1
177,1997-09-26,monthly,Hl.m. Praha,0.0,0,NA,NA,NA,NA,NA,25300,15,32,75171,800,1
178,1997-09-06,monthly,Kromeriz,0.0,0,NA,NA,NA,NA,NA,2100,15,33,18082,1000,1
181,1996-06-11,monthly,Tabor,1.0,0,NA,NA,NA,NA,NA,10400,15,65,52501,200,1
182,1996-08-24,monthly,Pardubice,0.0,0,NA,NA,NA,NA,NA,5600,1900,6,16900,200,1
183,1993-12-12,monthly,Hradec Kralove,0.0,0,NA,NA,NA,NA,NA,21440,15,125,63967,200,1
184,1996-02-21,monthly,Vsetin,0.0,0,NA,NA,NA,NA,NA,24000,15,70,86912,600,1
185,1997-07-04,monthly,Ceska Lipa,1.0,0,NA,NA,NA,NA,NA,18900,15,37,79865,1000,1
187,1993-03-28,monthly,Kolin,0.0,0,NA,NA,NA,NA,NA,4200,15,135,26365,200,1
188,1993-04-20,monthly,Brno - mesto,0.0,0,NA,NA,NA,NA,NA,26080,15,139,100010,700,1
189,1997-04-16,monthly,Sumperk,0.0,0,NA,NA,NA,NA,NA,28320,15,42,76341,700,1
190,1995-03-02,monthly,Ostrava - mesto,0.0,0,NA,NA,NA,NA,NA,23500,15,97,69474,500,1
191,1997-03-17,monthly,Usti nad Labem,1.0,0,NA,NA,NA,NA,NA,48000,15,43,126097,600,1
192,1993-01-08,monthly,Brno - venkov,0.0,0,NA,NA,NA,NA,NA,13450,15,139,39284,300,1
193,1996-12-22,monthly,Jesenik,0.0,0,NA,NA,NA,NA,NA,11500,15,52,39963,300,2
194,1996-08-01,monthly,Chrudim,0.0,0,NA,NA,NA,NA,NA,5550,15,72,38894,400,1
195,1997-02-27,monthly,Karvina,1.0,0,NA,NA,NA,NA,NA,13100,15,46,56940,600,2
196,1993-11-14,monthly,Kladno,1.0,0,NA,NA,NA,NA,NA,29700,15,137,86238,400,1
197,1993-02-25,monthly,Hl.m. Praha,0.0,0,NA,NA,NA,NA,NA,43040,15,144,76344,800,1
198,1993-10-25,monthly,Karvina,0.0,0,NA,NA,NA,NA,NA,12450,15,121,30570,900,1
199,1996-10-26,monthly,Karvina,0.0,0,NA,NA,NA,NA,NA,2970,15,49,29612,700,1
200,1994-07-03,monthly,Pelhrimov,1.0,0,NA,NA,NA,NA,NA,47200,15,114,125341,900,1
201,1994-11-02,monthly,Vyskov,0.0,0,NA,NA,NA,NA,NA,15200,15,104,62199,600,1
204,1996-01-13,monthly,Bruntal,0.0,0,NA,NA,NA,NA,NA,1950,15,67,27125,600,1
205,1997-10-08,monthly,Hl.m. Praha,0.0,0,NA,NA,NA,NA,NA,6300,15,37,45527,1000,1
206,1995-04-08,monthly,Trebic,0.0,0,NA,NA,NA,NA,NA,8480,15,119,42635,1100,2
207,1993-07-25,monthly,Benesov,0.0,0,NA,NA,NA,NA,NA,8100,10,155,36471,900,1
208,1996-03-27,monthly,Brno - mesto,0.0,0,NA,NA,NA,NA,NA,17800,15,71,61131,700,1
209,1996-11-24,monthly,Litomerice,0.0,0,NA,NA,NA,NA,NA,4600,15,65,45817,900,1
210,1996-03-17,monthly,Rychnov nad Kneznou,0.0,0,NA,NA,NA,NA,NA,25120,15,69,56027,1000,1
211,1997-07-19,monthly,Plzen - sever,1.0,0,NA,NA,NA,NA,NA,59600,15,46,151101,800,1
213,1995-08-29,monthly,Opava,1.0,0,NA,NA,NA,NA,NA,26400,15,81,87659,1000,1
214,1997-03-09,monthly,Domazlice,0.0,0,NA,NA,NA,NA,NA,2130,15,39,17518,500,2
215,1997-11-25,monthly,Tachov,0.0,0,NA,NA,NA,NA,NA,4590,15,23,19113,1000,2
216,1994-05-16,monthly,Louny,0.0,0,NA,NA,NA,NA,NA,8600,15,108,36351,500,1
217,1995-01-20,monthly,Vsetin,0.0,0,NA,NA,NA,NA,NA,19700,15,97,48581,800,1
218,1996-02-06,monthly,Frydek - Mistek,0.0,0,NA,NA,NA,NA,NA,59800,0,104,146909,-2172,1
219,1995-09-06,monthly,Plzen - sever,1.0,0,NA,NA,NA,NA,NA,20800,15,80,81085,500,1
220,1993-04-09,monthly,Olomouc,0.0,0,NA,NA,NA,NA,NA,7850,15,133,36356,400,1
221,1996-10-30,monthly,Prachatice,0.0,0,NA,NA,NA,NA,NA,25400,15,54,69998,300,1
222,1993-03-15,monthly,Litomerice,1.0,0,NA,NA,NA,NA,NA,50800,15,140,106492,500,1
223,1995-06-13,monthly,Most,1.0,0,NA,NA,NA,NA,NA,25800,15,64,76631,800,1
224,1996-10-27,monthly,Cesky Krumlov,0.0,0,NA,NA,NA,NA,NA,9350,15,50,28997,1100,1
225,1993-07-28,monthly,Hl.m. Praha,0.0,0,NA,NA,NA,NA,NA,27520,2,179,92940,1000,2
226,1997-02-23,monthly,Karvina,1.0,1,109344.0,9112.0,12.0,current,F,23400,15,55,80433,1000,1
227,1995-03-28,monthly,Plzen - jih,1.0,0,NA,NA,NA,NA,NA,52000,15,91,119200,700,1
228,1993-09-28,monthly,Kolin,0.0,0,NA,NA,NA,NA,NA,53500,15,129,81057,800,1
229,1997-06-07,monthly,Hl.m. Praha,0.0,0,NA,NA,NA,NA,NA,3760,15,39,32493,1100,1
230,1996-02-26,monthly,Hl.m. Praha,0.0,0,NA,NA,NA,NA,NA,20300,15,70,66172,600,2
231,1995-04-03,monthly,Domazlice,0.0,0,NA,NA,NA,NA,NA,2700,15,91,21913,900,2
232,1997-11-29,monthly,Jicin,1.0,0,NA,NA,NA,NA,NA,46720,15,28,84657,700,1
234,1993-07-15,monthly,Opava,0.0,0,NA,NA,NA,NA,NA,11000,15,127,29550,500,2
235,1993-10-06,monthly,Usti nad Labem,0.0,0,NA,NA,NA,NA,NA,5070,15,127,30633,1000,1
236,1996-03-16,monthly,Olomouc,0.0,0,NA,NA,NA,NA,NA,3700,300,11,24700,900,2
237,1994-03-25,monthly,Svitavy,0.0,0,NA,NA,NA,NA,NA,6200,15,111,19487,900,1
238,1993-08-15,monthly,Kutna Hora,0.0,0,NA,NA,NA,NA,NA,2850,15,125,21972,500,1
240,1997-04-28,monthly,Olomouc,0.0,0,NA,NA,NA,NA,NA,23600,15,42,67915,300,2
241,1996-09-29,monthly,Cesky Krumlov,0.0,0,NA,NA,NA,NA,NA,5040,15,69,41009,500,1
242,1996-08-29,monthly,Jesenik,0.0,0,NA,NA,NA,NA,NA,47520,15,58,72333,500,1
244,1993-02-08,monthly,Karlovy Vary,1.0,0,NA,NA,NA,NA,NA,8370,15,175,62976,800,1
245,1993-11-25,monthly,Znojmo,0.0,0,NA,NA,NA,NA,NA,62800,0,148,135093,-1211,1
246,1997-12-20,monthly,Znojmo,0.0,0,NA,NA,NA,NA,NA,7500,15,23,19310,700,2
248,1995-04-02,monthly,Hl.m. Praha,0.0,0,NA,NA,NA,NA,NA,29700,15,91,74703,700,1
249,1996-12-03,monthly,Plzen - sever,0.0,0,NA,NA,NA,NA,NA,20800,15,52,64867,600,1
250,1997-05-10,monthly,Breclav,0.0,0,NA,NA,NA,NA,NA,5800,15,46,52311,500,1
251,1996-04-06,monthly,Ostrava - mesto,0.0,0,NA,NA,NA,NA,NA,13600,15,74,61297,900,1
252,1996-12-26,monthly,Prachatice,0.0,0,NA,NA,NA,NA,NA,6600,15,45,52630,1000,1
253,1995-12-05,monthly,Nachod,1.0,0,NA,NA,NA,NA,NA,47680,2,75,106815,-1213,1
255,1996-11-03,monthly,Frydek - Mistek,0.0,0,NA,NA,NA,NA,NA,40800,15,53,101534,900,1
256,1995-05-14,monthly,Litomerice,1.0,0,NA,NA,NA,NA,NA,34200,15,87,76527,1100,1
257,1995-11-05,monthly,Praha - zapad,0.0,0,NA,NA,NA,NA,NA,64500,15,83,136264,900,1
258,1997-07-09,monthly,Zlin,0.0,0,NA,NA,NA,NA,NA,5600,15,37,38349,900,1
259,1993-10-28,monthly,Benesov,0.0,0,NA,NA,NA,NA,NA,14650,15,122,37228,600,1
260,1995-10-14,monthly,Karlovy Vary,0.0,0,NA,NA,NA,NA,NA,19200,15,92,56754,600,2
261,1996-10-07,monthly,Brno - mesto,0.0,0,NA,NA,NA,NA,NA,8500,15,57,26402,200,1
262,1996-01-27,monthly,Prerov,0.0,0,NA,NA,NA,NA,NA,3300,200,11,23400,200,1
264,1996-02-09,monthly,Cesky Krumlov,0.0,0,NA,NA,NA,NA,NA,19520,15,92,44212,900,1
265,1996-07-05,monthly,Prachatice,0.0,0,NA,NA,NA,NA,NA,8300,15,61,28571,600,2
266,1994-05-11,monthly,Pardubice,1.0,0,NA,NA,NA,NA,NA,55800,15,114,137653,400,1
267,1995-04-26,monthly,Louny,0.0,0,NA,NA,NA,NA,NA,3840,15,85,30016,500,2
268,1996-05-29,monthly,Beroun,0.0,0,NA,NA,NA,NA,NA,42200,15,65,124186,500,1
269,1996-08-30,monthly,Beroun,0.0,0,NA,NA,NA,NA,NA,8670,15,72,43387,700,1
270,1995-01-23,monthly,Plzen - jih,1.0,0,NA,NA,NA,NA,NA,36960,15,96,116900,1100,2
271,1996-08-13,monthly,Hl.m. Praha,0.0,0,NA,NA,NA,NA,NA,12500,15,59,62743,400,1
272,1996-10-23,monthly,Praha - zapad,0.0,0,NA,NA,NA,NA,NA,34700,15,53,57855,1100,1
274,1993-08-20,monthly,Sumperk,0.0,0,NA,NA,NA,NA,NA,26240,15,132,68094,300,1
275,1996-01-02,monthly,Rokycany,0.0,0,NA,NA,NA,NA,NA,2400,15,73,22668,800,1
276,1997-12-08,monthly,Louny,1.0,1,160920.0,4470.0,36.0,current,F,24800,15,27,74906,700,1
278,1996-04-08,monthly,Opava,1.0,0,NA,NA,NA,NA,NA,23600,15,67,97478,700,1
279,1993-04-14,monthly,Most,0.0,0,NA,NA,NA,NA,NA,3300,15,133,32821,400,2
280,1993-01-23,monthly,Klatovy,0.0,0,NA,NA,NA,NA,NA,17440,15,159,69718,300,1
281,1996-10-27,monthly,Hl.m. Praha,1.0,0,NA,NA,NA,NA,NA,36320,15,70,72297,900,2
282,1997-05-12,monthly,Jesenik,0.0,0,NA,NA,NA,NA,NA,23400,15,39,69350,200,2
283,1996-04-18,monthly,Chrudim,0.0,0,NA,NA,NA,NA,NA,6950,15,61,30907,800,1
284,1997-07-18,monthly,Brno - mesto,0.0,0,NA,NA,NA,NA,NA,25100,15,39,66377,900,1
285,1995-05-08,monthly,Pelhrimov,0.0,0,NA,NA,NA,NA,NA,45120,15,91,105299,600,2
286,1996-03-27,monthly,Novy Jicin,1.0,0,NA,NA,NA,NA,NA,25900,15,68,74623,300,2
287,1993-10-27,monthly,Jindrichuv Hradec,0.0,0,NA,NA,NA,NA,NA,6300,15,121,27025,600,1
288,1995-03-18,monthly,Klatovy,0.0,0,NA,NA,NA,NA,NA,4600,15,87,37478,900,1
