"","account_id","min_balance","max_balance","cc_payments","min_withdrawal","max_withdrawal","credit_cards","num_customers","open_date","statement_frequency","district_name","loan","loan_amount","loan_payments","loan_term","loan_status","loan_default"
"99",114,500,27332,39,15,6000,0,1,1997-03-14,"monthly","Prostejov","F",NA,NA,NA,NA,NA
"100",115,800,52047,158,15,11100,1,1,1993-03-19,"monthly","Frydek - Mistek","F",NA,NA,NA,NA,NA
"101",116,800,77466,68,15,31400,0,2,1996-03-21,"monthly","Mlada Boleslav","F",NA,NA,NA,NA,NA
"102",117,900,32382,129,15,11200,0,1,1993-09-05,"monthly","Tachov","F",NA,NA,NA,NA,NA
"103",118,600,40532,37,15,5000,0,1,1997-09-18,"monthly","Frydek - Mistek","F",NA,NA,NA,NA,NA
"104",119,800,70508,135,15,21200,0,1,1993-05-25,"monthly","Plzen - jih","F",NA,NA,NA,NA,NA
"105",121,200,37504,39,15,5600,0,1,1997-10-11,"monthly","Brno - venkov","F",NA,NA,NA,NA,NA
"106",122,900,86062,53,15,29400,1,1,1996-10-30,"monthly","Tachov","F",NA,NA,NA,NA,NA
"107",123,200,27494,135,15,4500,0,2,1993-03-13,"monthly","Tabor","F",NA,NA,NA,NA,NA
"108",124,800,26468,29,15,4900,0,1,1997-12-28,"monthly","Brno - venkov","F",NA,NA,NA,NA,NA
"109",126,200,118219,140,15,48900,0,1,1993-10-23,"monthly","Kolin","F",NA,NA,NA,NA,NA
"110",127,600,23673,119,15,6400,0,1,1994-02-02,"monthly","Rokycany","F",NA,NA,NA,NA,NA
"111",128,300,86413,208,15,21900,1,1,1993-02-19,"monthly","Benesov","F",NA,NA,NA,NA,NA
"112",129,600,29052,31,15,7200,0,2,1997-10-01,"monthly","Ostrava - mesto","F",NA,NA,NA,NA,NA
"113",130,300,35067,42,15,7350,0,1,1997-02-12,"monthly","Brno - mesto","F",NA,NA,NA,NA,NA
"114",131,5496,48212,90,15,33000,0,1,1995-06-13,"monthly","Usti nad Orlici","F",NA,NA,NA,NA,NA
"115",134,300,47697,27,15,12700,1,1,1997-12-10,"monthly","Chomutov","F",NA,NA,NA,NA,NA
"116",135,700,75906,161,15,24700,0,1,1993-06-15,"monthly","Prerov","F",NA,NA,NA,NA,NA
"117",136,600,32170,60,15,8100,0,1,1996-05-14,"monthly","Ostrava - mesto","F",NA,NA,NA,NA,NA
"118",137,900,81958,59,15,36000,0,1,1996-07-19,"monthly","Karvina","F",NA,NA,NA,NA,NA
"119",138,1100,21200,15,200,4700,0,2,1995-09-19,"monthly","Domazlice","F",NA,NA,NA,NA,NA
"120",140,300,84824,42,15,24600,0,1,1996-06-25,"monthly","Karlovy Vary","F",NA,NA,NA,NA,NA
"121",141,900,89665,69,15,45100,0,2,1996-03-06,"monthly","Louny","F",NA,NA,NA,NA,NA
"122",142,900,30167,137,15,6200,0,2,1993-02-15,"monthly","Trutnov","F",NA,NA,NA,NA,NA
"123",143,500,27564,47,15,4500,0,1,1996-11-27,"monthly","Tabor","F",NA,NA,NA,NA,NA
"124",145,1100,68969,94,15,28900,0,1,1996-01-03,"monthly","Tachov","F",NA,NA,NA,NA,NA
"125",146,500,38814,129,15,11050,0,1,1993-09-02,"monthly","Kladno","F",NA,NA,NA,NA,NA
"126",148,500,27206,129,15,3400,0,1,1993-06-21,"monthly","Mlada Boleslav","F",NA,NA,NA,NA,NA
"127",149,300,58484,44,15,21200,0,1,1997-11-16,"monthly","Hradec Kralove","F",NA,NA,NA,NA,NA
"128",150,1900,98752,130,15,27400,0,1,1995-03-16,"monthly","Opava","F",NA,NA,NA,NA,NA
"129",151,1000,34425,147,15,7100,0,2,1993-09-06,"monthly","Sumperk","F",NA,NA,NA,NA,NA
"130",152,1100,35746,76,15,6300,0,2,1996-04-12,"monthly","Hl.m. Praha","F",NA,NA,NA,NA,NA
"131",153,400,53039,129,15,17200,0,1,1993-09-19,"monthly","Vsetin","F",NA,NA,NA,NA,NA
"132",154,900,96137,111,15,18900,0,1,1994-06-21,"monthly","Nachod","F",NA,NA,NA,NA,NA
"133",155,300,38532,95,15,14560,0,1,1995-11-07,"monthly","Jihlava","F",NA,NA,NA,NA,NA
"134",156,1000,21707,25,15,8430,0,1,1997-10-22,"monthly","Zlin","F",NA,NA,NA,NA,NA
"135",157,200,39576,40,15,6300,0,1,1997-03-28,"monthly","Praha - zapad","F",NA,NA,NA,NA,NA
"136",158,700,83034,91,15,33200,0,2,1995-03-15,"monthly","Litomerice","F",NA,NA,NA,NA,NA
"137",159,800,103034,46,15,25600,1,1,1997-02-11,"monthly","Karvina","F",NA,NA,NA,NA,NA
"138",160,400,113217,152,15,57100,0,1,1993-09-04,"monthly","Cheb","F",NA,NA,NA,NA,NA
"139",161,900,29469,109,15,14450,0,1,1994-07-04,"monthly","Plzen - sever","F",NA,NA,NA,NA,NA
"140",162,200,40827,125,15,13900,0,2,1993-08-25,"monthly","Prostejov","F",NA,NA,NA,NA,NA
"141",163,900,43752,141,15,9050,0,1,1993-01-27,"monthly","Sokolov","F",NA,NA,NA,NA,NA
"142",164,200,67994,32,100,21700,0,1,1996-09-13,"monthly","Prostejov","F",NA,NA,NA,NA,NA
"143",165,1000,62489,135,15,14650,0,2,1993-06-01,"monthly","Klatovy","F",NA,NA,NA,NA,NA
"144",166,800,31842,53,15,4300,0,1,1996-08-20,"monthly","Pelhrimov","F",NA,NA,NA,NA,NA
"145",168,500,24794,133,15,8100,0,2,1993-04-27,"monthly","Tachov","F",NA,NA,NA,NA,NA
"146",169,500,78256,82,15,14600,0,1,1995-09-28,"monthly","Kladno","F",NA,NA,NA,NA,NA
"147",170,1000,79183,62,15,22100,0,1,1996-07-02,"monthly","Kromeriz","F",NA,NA,NA,NA,NA
"148",171,500,33192,63,15,6700,0,1,1996-06-08,"monthly","Nachod","F",NA,NA,NA,NA,NA
"149",172,700,78889,131,15,46720,1,2,1993-08-30,"monthly","Rakovnik","F",NA,NA,NA,NA,NA
"150",173,500,87882,156,15,18560,0,2,1993-11-26,"monthly","Zdar nad Sazavou","T",104808,8734,12,"expired",FALSE
"151",174,900,21345,57,15,3400,0,1,1996-09-04,"monthly","Usti nad Orlici","F",NA,NA,NA,NA,NA
"152",177,800,75171,32,15,25300,0,1,1997-09-26,"monthly","Hl.m. Praha","F",NA,NA,NA,NA,NA
"153",178,1000,18082,33,15,2100,0,1,1997-09-06,"monthly","Kromeriz","F",NA,NA,NA,NA,NA
"154",181,200,52501,65,15,10400,1,1,1996-06-11,"monthly","Tabor","F",NA,NA,NA,NA,NA
"155",182,200,16900,6,1900,5600,0,1,1996-08-24,"monthly","Pardubice","F",NA,NA,NA,NA,NA
"156",183,200,63967,125,15,21440,0,1,1993-12-12,"monthly","Hradec Kralove","F",NA,NA,NA,NA,NA
"157",184,600,86912,70,15,24000,0,1,1996-02-21,"monthly","Vsetin","F",NA,NA,NA,NA,NA
"158",185,1000,79865,37,15,18900,1,1,1997-07-04,"monthly","Ceska Lipa","F",NA,NA,NA,NA,NA
"159",187,200,26365,135,15,4200,0,1,1993-03-28,"monthly","Kolin","F",NA,NA,NA,NA,NA
"160",188,700,100010,139,15,26080,0,1,1993-04-20,"monthly","Brno - mesto","F",NA,NA,NA,NA,NA
"161",189,700,76341,42,15,28320,0,1,1997-04-16,"monthly","Sumperk","F",NA,NA,NA,NA,NA
"162",190,500,69474,97,15,23500,0,1,1995-03-02,"monthly","Ostrava - mesto","F",NA,NA,NA,NA,NA
"163",191,600,126097,43,15,48000,1,1,1997-03-17,"monthly","Usti nad Labem","F",NA,NA,NA,NA,NA
"164",192,300,39284,139,15,13450,0,1,1993-01-08,"monthly","Brno - venkov","F",NA,NA,NA,NA,NA
"165",193,300,39963,52,15,11500,0,2,1996-12-22,"monthly","Jesenik","F",NA,NA,NA,NA,NA
"166",194,400,38894,72,15,5550,0,1,1996-08-01,"monthly","Chrudim","F",NA,NA,NA,NA,NA
"167",195,600,56940,46,15,13100,1,2,1997-02-27,"monthly","Karvina","F",NA,NA,NA,NA,NA
"168",196,400,86238,137,15,29700,1,1,1993-11-14,"monthly","Kladno","F",NA,NA,NA,NA,NA
"169",197,800,76344,144,15,43040,0,1,1993-02-25,"monthly","Hl.m. Praha","F",NA,NA,NA,NA,NA
"170",198,900,30570,121,15,12450,0,1,1993-10-25,"monthly","Karvina","F",NA,NA,NA,NA,NA
"171",199,700,29612,49,15,2970,0,1,1996-10-26,"monthly","Karvina","F",NA,NA,NA,NA,NA
"172",200,900,125341,114,15,47200,1,1,1994-07-03,"monthly","Pelhrimov","F",NA,NA,NA,NA,NA
"173",201,600,62199,104,15,15200,0,1,1994-11-02,"monthly","Vyskov","F",NA,NA,NA,NA,NA
"174",204,600,27125,67,15,1950,0,1,1996-01-13,"monthly","Bruntal","F",NA,NA,NA,NA,NA
"175",205,1000,45527,37,15,6300,0,1,1997-10-08,"monthly","Hl.m. Praha","F",NA,NA,NA,NA,NA
"176",206,1100,42635,119,15,8480,0,2,1995-04-08,"monthly","Trebic","F",NA,NA,NA,NA,NA
"177",207,900,36471,155,10,8100,0,1,1993-07-25,"monthly","Benesov","F",NA,NA,NA,NA,NA
"178",208,700,61131,71,15,17800,0,1,1996-03-27,"monthly","Brno - mesto","F",NA,NA,NA,NA,NA
"179",209,900,45817,65,15,4600,0,1,1996-11-24,"monthly","Litomerice","F",NA,NA,NA,NA,NA
"180",210,1000,56027,69,15,25120,0,1,1996-03-17,"monthly","Rychnov nad Kneznou","F",NA,NA,NA,NA,NA
"181",211,800,151101,46,15,59600,1,1,1997-07-19,"monthly","Plzen - sever","F",NA,NA,NA,NA,NA
"182",213,1000,87659,81,15,26400,1,1,1995-08-29,"monthly","Opava","F",NA,NA,NA,NA,NA
"183",214,500,17518,39,15,2130,0,2,1997-03-09,"monthly","Domazlice","F",NA,NA,NA,NA,NA
"184",215,1000,19113,23,15,4590,0,2,1997-11-25,"monthly","Tachov","F",NA,NA,NA,NA,NA
"185",216,500,36351,108,15,8600,0,1,1994-05-16,"monthly","Louny","F",NA,NA,NA,NA,NA
"186",217,800,48581,97,15,19700,0,1,1995-01-20,"monthly","Vsetin","F",NA,NA,NA,NA,NA
"187",218,-2172,146909,104,0,59800,0,1,1996-02-06,"monthly","Frydek - Mistek","F",NA,NA,NA,NA,NA
"188",219,500,81085,80,15,20800,1,1,1995-09-06,"monthly","Plzen - sever","F",NA,NA,NA,NA,NA
"189",220,400,36356,133,15,7850,0,1,1993-04-09,"monthly","Olomouc","F",NA,NA,NA,NA,NA
"190",221,300,69998,54,15,25400,0,1,1996-10-30,"monthly","Prachatice","F",NA,NA,NA,NA,NA
"191",222,500,106492,140,15,50800,1,1,1993-03-15,"monthly","Litomerice","F",NA,NA,NA,NA,NA
"192",223,800,76631,64,15,25800,1,1,1995-06-13,"monthly","Most","F",NA,NA,NA,NA,NA
"193",224,1100,28997,50,15,9350,0,1,1996-10-27,"monthly","Cesky Krumlov","F",NA,NA,NA,NA,NA
"194",225,1000,92940,179,2,27520,0,2,1993-07-28,"monthly","Hl.m. Praha","F",NA,NA,NA,NA,NA
"195",226,1000,80433,55,15,23400,1,1,1997-02-23,"monthly","Karvina","T",109344,9112,12,"current",FALSE
"196",227,700,119200,91,15,52000,1,1,1995-03-28,"monthly","Plzen - jih","F",NA,NA,NA,NA,NA
"197",228,800,81057,129,15,53500,0,1,1993-09-28,"monthly","Kolin","F",NA,NA,NA,NA,NA
"198",229,1100,32493,39,15,3760,0,1,1997-06-07,"monthly","Hl.m. Praha","F",NA,NA,NA,NA,NA
"199",230,600,66172,70,15,20300,0,2,1996-02-26,"monthly","Hl.m. Praha","F",NA,NA,NA,NA,NA
"200",231,900,21913,91,15,2700,0,2,1995-04-03,"monthly","Domazlice","F",NA,NA,NA,NA,NA
"201",232,700,84657,28,15,46720,1,1,1997-11-29,"monthly","Jicin","F",NA,NA,NA,NA,NA
"202",234,500,29550,127,15,11000,0,2,1993-07-15,"monthly","Opava","F",NA,NA,NA,NA,NA
"203",235,1000,30633,127,15,5070,0,1,1993-10-06,"monthly","Usti nad Labem","F",NA,NA,NA,NA,NA
"204",236,900,24700,11,300,3700,0,2,1996-03-16,"monthly","Olomouc","F",NA,NA,NA,NA,NA
"205",237,900,19487,111,15,6200,0,1,1994-03-25,"monthly","Svitavy","F",NA,NA,NA,NA,NA
"206",238,500,21972,125,15,2850,0,1,1993-08-15,"monthly","Kutna Hora","F",NA,NA,NA,NA,NA
"207",240,300,67915,42,15,23600,0,2,1997-04-28,"monthly","Olomouc","F",NA,NA,NA,NA,NA
"208",241,500,41009,69,15,5040,0,1,1996-09-29,"monthly","Cesky Krumlov","F",NA,NA,NA,NA,NA
"209",242,500,72333,58,15,47520,0,1,1996-08-29,"monthly","Jesenik","F",NA,NA,NA,NA,NA
"210",244,800,62976,175,15,8370,1,1,1993-02-08,"monthly","Karlovy Vary","F",NA,NA,NA,NA,NA
"211",245,-1211,135093,148,0,62800,0,1,1993-11-25,"monthly","Znojmo","F",NA,NA,NA,NA,NA
"212",246,700,19310,23,15,7500,0,2,1997-12-20,"monthly","Znojmo","F",NA,NA,NA,NA,NA
"213",248,700,74703,91,15,29700,0,1,1995-04-02,"monthly","Hl.m. Praha","F",NA,NA,NA,NA,NA
"214",249,600,64867,52,15,20800,0,1,1996-12-03,"monthly","Plzen - sever","F",NA,NA,NA,NA,NA
"215",250,500,52311,46,15,5800,0,1,1997-05-10,"monthly","Breclav","F",NA,NA,NA,NA,NA
"216",251,900,61297,74,15,13600,0,1,1996-04-06,"monthly","Ostrava - mesto","F",NA,NA,NA,NA,NA
"217",252,1000,52630,45,15,6600,0,1,1996-12-26,"monthly","Prachatice","F",NA,NA,NA,NA,NA
"218",253,-1213,106815,75,2,47680,1,1,1995-12-05,"monthly","Nachod","F",NA,NA,NA,NA,NA
"219",255,900,101534,53,15,40800,0,1,1996-11-03,"monthly","Frydek - Mistek","F",NA,NA,NA,NA,NA
"220",256,1100,76527,87,15,34200,1,1,1995-05-14,"monthly","Litomerice","F",NA,NA,NA,NA,NA
"221",257,900,136264,83,15,64500,0,1,1995-11-05,"monthly","Praha - zapad","F",NA,NA,NA,NA,NA
"222",258,900,38349,37,15,5600,0,1,1997-07-09,"monthly","Zlin","F",NA,NA,NA,NA,NA
"223",259,600,37228,122,15,14650,0,1,1993-10-28,"monthly","Benesov","F",NA,NA,NA,NA,NA
"224",260,600,56754,92,15,19200,0,2,1995-10-14,"monthly","Karlovy Vary","F",NA,NA,NA,NA,NA
"225",261,200,26402,57,15,8500,0,1,1996-10-07,"monthly","Brno - mesto","F",NA,NA,NA,NA,NA
"226",262,200,23400,11,200,3300,0,1,1996-01-27,"monthly","Prerov","F",NA,NA,NA,NA,NA
"227",264,900,44212,92,15,19520,0,1,1996-02-09,"monthly","Cesky Krumlov","F",NA,NA,NA,NA,NA
"228",265,600,28571,61,15,8300,0,2,1996-07-05,"monthly","Prachatice","F",NA,NA,NA,NA,NA
"229",266,400,137653,114,15,55800,1,1,1994-05-11,"monthly","Pardubice","F",NA,NA,NA,NA,NA
"230",267,500,30016,85,15,3840,0,2,1995-04-26,"monthly","Louny","F",NA,NA,NA,NA,NA
"231",268,500,124186,65,15,42200,0,1,1996-05-29,"monthly","Beroun","F",NA,NA,NA,NA,NA
"232",269,700,43387,72,15,8670,0,1,1996-08-30,"monthly","Beroun","F",NA,NA,NA,NA,NA
"233",270,1100,116900,96,15,36960,1,2,1995-01-23,"monthly","Plzen - jih","F",NA,NA,NA,NA,NA
"234",271,400,62743,59,15,12500,0,1,1996-08-13,"monthly","Hl.m. Praha","F",NA,NA,NA,NA,NA
"235",272,1100,57855,53,15,34700,0,1,1996-10-23,"monthly","Praha - zapad","F",NA,NA,NA,NA,NA
"236",274,300,68094,132,15,26240,0,1,1993-08-20,"monthly","Sumperk","F",NA,NA,NA,NA,NA
"237",275,800,22668,73,15,2400,0,1,1996-01-02,"monthly","Rokycany","F",NA,NA,NA,NA,NA
"238",276,700,74906,27,15,24800,1,1,1997-12-08,"monthly","Louny","T",160920,4470,36,"current",FALSE
"239",278,700,97478,67,15,23600,1,1,1996-04-08,"monthly","Opava","F",NA,NA,NA,NA,NA
"240",279,400,32821,133,15,3300,0,2,1993-04-14,"monthly","Most","F",NA,NA,NA,NA,NA
